poi ville code_postale code_insee region code_departement departement latitude longitude createur_donnée fournisseur id_poi photo categorie_mere sous_categorie
"Saint-Quentin astronomie" 12309 02100 02691 Hauts-de-France 02 Aisne 49.837158 3.324608 "SIM Picardie - OT du Saint-Quentinois" NaN https://data.datatourisme.gouv.fr/28/78b41cfa-58fa-39d4-8d9d-86d9bd35e046 True Produit Pratique
"Initiation éveil corporel et danse moderne" 12895 02610 02532 Hauts-de-France 02 Aisne 49.746581 3.363543 "SIM Picardie - OT du Saint-Quentinois" NaN https://data.datatourisme.gouv.fr/28/7a2cb8a6-40a2-3085-9945-db6541dd0a40 True Produit Pratique
"Hôtel Kyriad Compiègne" 8695 60200 60159 Hauts-de-France 60 Oise 49.39098 2.78823 "SIM Picardie - Office de Tourisme de l'Agglomération de Compiègne" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/7a34d03a-35d6-30c5-a569-1d58be3adf45 True Produit 
"Le Tigre" 12414 60280 60382 Hauts-de-France 60 Oise 49.438609 2.796848 "SIM Picardie - Office de Tourisme de l'Agglomération de Compiègne" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/7a8bd33e-f24e-31ac-92f6-21d969ab5f5b True Produit 
"Domaine de la Nacelle" 12601 60620 60548 Hauts-de-France 60 Oise 49.095929 2.985655 "SIM Picardie - Office de Tourisme du Pays Valois" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/7c8f42f2-047f-3918-9c72-f7391e534492 True Produit 
"Château de Gézaincourt" 13195 80600 80377 Hauts-de-France 80 Somme 50.140905 2.319799 "SIM Picardie - OT D'AMIENS" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/7ce7ad65-2170-3fab-9ba3-a1965a47a551 True Produit 
"Le Bois de Rosoy" 12601 60620 60548 Hauts-de-France 60 Oise 49.096413 2.998112 "SIM Picardie - Office de Tourisme du Pays Valois" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/7cfd78bc-2ec0-303e-b904-8468387f5cf6 True Produit 
"ABBAYE DE MORIENVAL" 12448 60127 60430 Hauts-de-France 60 Oise 49.297875 2.921645 "SIM Picardie - Oise Tourisme" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/7d42a86f-e782-3bfd-bc7b-89219c8d23f6 True Produit 
"Chateauform de Fillerval" 12873 60250 60638 Hauts-de-France 60 Oise 49.358342 2.315424 "SIM Picardie - Oise Tourisme" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/7de42647-4437-3078-9acc-8c032e86fa7e True Produit 
"Château de Condé - Demeure des Princes" 12372 02330 02209 Hauts-de-France 02 Aisne 49.006161 3.559141 "SIM Picardie - Agence Aisne Tourisme" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/7e1026bd-a0d6-3244-be22-67e489f318dc True Produit 
"Visite – La flore miraculeuse" 12378 80350 80533 Hauts-de-France 80 Somme 50.069642 1.387348 "SIM Picardie - DESTINATION LE TREPORT – MERS" "SIM Picardie" https://data.datatourisme.gouv.fr/28/7e90b799-5f30-330e-9388-f1311db04b1e False Produit Visite
"Le Château de Quesmy" 12955 60640 60519 Hauts-de-France 60 Oise 49.635803 3.064344 "SIM Picardie - Office de Tourisme du Pays Noyonnais en Vallées de l'Oise" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/806a773d-36d6-347f-a022-a0535520e025 True Produit 
"Visite – La vie aux étangs" 12632 80220 80127 Hauts-de-France 80 Somme 50.02929 1.49131 "SIM Picardie - DESTINATION LE TREPORT – MERS" "SIM Picardie" https://data.datatourisme.gouv.fr/28/80ac376a-8fbc-3cd1-b0d1-a96d782bbc7a False Produit Visite
"Les Pommerieux" 12995 02200 02138 Hauts-de-France 02 Aisne 49.31227 3.34861 "SIM Picardie - Agence Aisne Tourisme" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/81a9e8b8-69fd-34ee-afb4-9a8af6bd6cdb True Produit 
"Land art en forêt 21/10/2021" 12450 80150 80222 Hauts-de-France 80 Somme 50.236906 1.832238 "SIM Picardie - TERRES ET MERVEILLES" "SIM Picardie" https://data.datatourisme.gouv.fr/28/8243deef-a008-3e22-9fb5-567ff72bfe72 False Produit Pratique
"Abbaye de Valloires" 12444 80120 80025 Hauts-de-France 80 Somme 50.349102 1.820113 "SIM Picardie - ADRT80" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/849fec57-9da8-3d14-9fa8-67224f558e5c True Produit 
"Cayeux, de la Belle Epoque à nos jours." 12388 80410 80182 Hauts-de-France 80 Somme 50.18356 1.494105 "SIM Picardie - OT DE LA BAIE DE SOMME" "SIM Picardie" https://data.datatourisme.gouv.fr/28/84d9e3ca-9970-3fe2-aba6-d934205d2e90 False Produit Visite
"Quai de l'innovation" 7400 80000 80021 Hauts-de-France 80 Somme 49.895273 2.304912 "SIM Picardie - OT D'AMIENS" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/84e9617d-3ea5-39db-9b99-5989c570fc5b True Produit 
"Sortie nature « Les bêtes à plumes de Belloy ! »" 13080 80310 80082 Hauts-de-France 80 Somme 49.977575 2.130208 "SIM Picardie - OT NIEVRE ET SOMME" "SIM Picardie" https://data.datatourisme.gouv.fr/28/854f5aa3-efbe-3630-b1e3-ce02f92bd400 False Produit Pratique
"Atelier Découverte et Pratique Teinture Végétale 05/06/2021" 12416 80120 80688 Hauts-de-France 80 Somme 50.28292 1.65966 "SIM Picardie - TERRES ET MERVEILLES" "SIM Picardie" https://data.datatourisme.gouv.fr/28/8568a4ac-9fa5-3e68-988d-5c21d9ac24ec False Produit Pratique
"Visite – La flore miraculeuse" 12378 80350 80533 Hauts-de-France 80 Somme 50.069642 1.387348 "SIM Picardie - DESTINATION LE TREPORT – MERS" "SIM Picardie" https://data.datatourisme.gouv.fr/28/85f4743a-7c3f-3da9-bd57-ed8cfd5a5c73 False Produit Visite
"La Brasserie Jules" 7400 80000 80021 Hauts-de-France 80 Somme 49.891576 2.309099 "SIM Picardie - ADRT80" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/861c3edf-d6d4-346d-aab3-e471fd41de62 True Produit 
"Exposition « La vie romantique, coffrets et faïences illustrés sous la monarchie de Juillet »" 12472 60100 60175 Hauts-de-France 60 Oise 49.260691 2.472272 "SIM Picardie - Office de Tourisme Creil Sud Oise" "SIM Picardie" https://data.datatourisme.gouv.fr/28/87092c11-515e-35bf-9a3c-cc483895d8d1 False Produit "Visite, Evènement Commercial"
"Golf club Amiens" 13061 80115 80650 Hauts-de-France 80 Somme 49.930041 2.400436 "SIM Picardie - OT D'AMIENS" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/8794d8ad-0b6e-32b9-8df4-450c37ac1577 True Produit 
"Visite – Les plantes comestibles" 12378 80350 80533 Hauts-de-France 80 Somme 50.070514 1.392271 "SIM Picardie - DESTINATION LE TREPORT – MERS" "SIM Picardie" https://data.datatourisme.gouv.fr/28/87cf4f7b-8a56-39b5-856f-5361355c0f75 False Produit Visite
"Pierre et Vacances Belle Dune" 12318 80120 80333 Hauts-de-France 80 Somme 50.330878 1.56527 "SIM Picardie - ADRT80" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/8823b2f2-6fb4-30ef-be24-2db68113d7a9 True Produit 
"Visite – Chasse aux papillons" 12378 80350 80533 Hauts-de-France 80 Somme 50.070557 1.392285 "SIM Picardie - DESTINATION LE TREPORT – MERS" "SIM Picardie" https://data.datatourisme.gouv.fr/28/889d87ea-8d56-324c-a5ee-83f5683c6203 False Produit Visite
"Auberge de Jeunesse Amiens" 7400 80000 80021 Hauts-de-France 80 Somme 49.890126 2.280872 "SIM Picardie - OT D'AMIENS" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/88bf1272-0cc6-3808-848a-024d99e14681 True Produit 
"Hôtel Campanile Amiens-Glisy" 13005 80440 80379 Hauts-de-France 80 Somme 49.867255 2.372633 "SIM Picardie - ADRT80" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/89cedcdf-942d-313f-b15b-25fc1fb3416d True Produit 
"Hostellerie Saint Vincent" 8677 60000 60057 Hauts-de-France 60 Oise 49.43168 2.11002 "SIM Picardie - Office de Tourisme de l'Agglomération du Beauvaisis" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/8a1a2b40-ec60-3e5c-a59f-9faef8f65b08 True Produit 
"Cinéma gaumont" 7400 80000 80021 Hauts-de-France 80 Somme 49.88973 2.306575 "SIM Picardie - OT D'AMIENS" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/8a8e5ac0-c878-3f89-992f-bfe14878cf75 True Produit 
Aladin 12896 60240 60090 Hauts-de-France 60 Oise 49.176397 1.911316 "SIM Picardie - Communauté de communes du Vexin-Thelle" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/8abb7991-7f6f-3919-b74d-c27b44c596f8 True Produit 
"Atelier Huiles et Soins de Beauté 13/05/2021" 12492 80860 80633 Hauts-de-France 80 Somme 50.23132 1.68937 "SIM Picardie - TERRES ET MERVEILLES" "SIM Picardie" https://data.datatourisme.gouv.fr/28/8b08a844-3ab6-307d-a3ab-0062fda70ad0 False Produit Pratique
"La Maison de la Baie de Somme et de l'Oiseau" 12648 80230 80464 Hauts-de-France 80 Somme 50.215047 1.564283 "SIM Picardie - ADRT80" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/8d58f54e-2a10-3f5c-8335-d32de0f58275 True Produit 
"VISITE GUIDEE : TOUR DE VILLE AUX FLAMBEAUX - NOUVEAU" 12353 60400 60471 Hauts-de-France 60 Oise 49.581528 3.001715 "SIM Picardie - Office de Tourisme du Pays Noyonnais en Vallées de l'Oise" "SIM Picardie" https://data.datatourisme.gouv.fr/28/8d6652c7-4093-3c50-801a-4ae95450aec4 False Produit Visite
"Visites conférences : Bienvenue ! Le Musée de la voiture" 8695 60200 60159 Hauts-de-France 60 Oise 49.418399 2.828958 "SIM Picardie - Office de Tourisme de l'Agglomération de Compiègne" "SIM Picardie" https://data.datatourisme.gouv.fr/28/8daa5175-064a-3b54-acae-f2a4390ec5c9 False Produit Visite
"La Claire Fontaine" 12825 80140 80324 Hauts-de-France 80 Somme 49.943581 1.808295 "SIM Picardie - ADRT80" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/8e85eac8-5e65-3f6c-9799-7f6c0859783f True Produit 
"Espace culturel le Château des rochers" 13131 60180 60463 Hauts-de-France 60 Oise 49.278945 2.46096 "SIM Picardie - Office de Tourisme Creil Sud Oise" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/8fb76373-deb5-36f0-a05d-937d28cc5fb6 True Produit 
"Taiko No Tatsujin" 12309 02100 02691 Hauts-de-France 02 Aisne 49.84599 3.28883 "SIM Picardie - OT du Saint-Quentinois" "SIM Picardie" https://data.datatourisme.gouv.fr/28/91b01a29-af05-38a5-91af-46e6254ec4b0 False Produit "Pratique, Evènement Commercial"
"Balade en canoë" 12622 80470 80011 Hauts-de-France 80 Somme 49.93001 2.201586 "SIM Picardie - OT NIEVRE ET SOMME" "SIM Picardie" https://data.datatourisme.gouv.fr/28/928b5a03-4b59-31a5-a9e6-a91f1a9ffb18 False Produit Pratique
"Hostellerie du Royal Lieu" 8695 60200 60159 Hauts-de-France 60 Oise 49.396991 2.804385 "SIM Picardie - Office de Tourisme de l'Agglomération de Compiègne" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/93350589-3b0a-3238-a92d-dfda4045dd3b True Produit 
"Le Fiacre" 12287 80120 80649 Hauts-de-France 80 Somme 50.329556 1.595112 "SIM Picardie - TERRES ET MERVEILLES" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/93702cdf-dad9-3e38-97de-f1f99fb5836c True Produit 
"Club de voile de Tergnier" 12516 02700 02738 Hauts-de-France 02 Aisne 49.65325 3.28578 "SIM Picardie - Agence Aisne Tourisme" NaN https://data.datatourisme.gouv.fr/28/93a02d62-5953-3b09-b5c7-36ff99412346 True Produit Pratique
"CAMPANILE VILLERS SAINT PAUL" 12361 60870 60684 Hauts-de-France 60 Oise 49.282839 2.488899 "SIM Picardie - Oise Tourisme" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/94766aa4-dc23-35f7-b047-50050add6a5b True Produit 
"Visite – La vie aux étangs" 12632 80220 80127 Hauts-de-France 80 Somme 50.02929 1.49131 "SIM Picardie - DESTINATION LE TREPORT – MERS" "SIM Picardie" https://data.datatourisme.gouv.fr/28/94bb4d1b-89c3-34be-8845-b2c47b7940ee False Produit Visite
"Visite – Chasse aux papillons" 12378 80350 80533 Hauts-de-France 80 Somme 50.070557 1.392285 "SIM Picardie - DESTINATION LE TREPORT – MERS" "SIM Picardie" https://data.datatourisme.gouv.fr/28/9503ebd8-a686-30dc-a8b9-8ad7f1f236e5 False Produit Visite
"Visite - Chants d'oiseaux au bois" 12391 80460 80039 Hauts-de-France 80 Somme 50.088497 1.425358 "SIM Picardie - DESTINATION LE TREPORT – MERS" "SIM Picardie" https://data.datatourisme.gouv.fr/28/951502a4-b8ca-3d9b-b243-0ac50c3afff9 False Produit Visite
"Ferme du chateau de Poix" 12868 60620 60091 Hauts-de-France 60 Oise 49.121244 2.927673 "SIM Picardie - Office de Tourisme du Pays Valois" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/951793a6-c921-3b32-9aa6-e25e7abb2b29 True Produit 
"Domaine de Chantilly - Château" 8685 60500 60141 Hauts-de-France 60 Oise 49.206592 2.476044 "SIM Picardie - Chantilly-Senlis Tourisme" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/966d1e19-3125-3449-9ca6-bb3d04de818b True Produit 
"Ribemont Gym" 12381 02240 02648 Hauts-de-France 02 Aisne 49.798138 3.461992 "SIM Picardie - OT du Saint-Quentinois" NaN https://data.datatourisme.gouv.fr/28/97077a31-a600-3f96-8ae2-0237c750f1b2 True Produit Pratique
"Visite – La vie aux étangs" 12632 80220 80127 Hauts-de-France 80 Somme 50.02929 1.49131 "SIM Picardie - DESTINATION LE TREPORT – MERS" "SIM Picardie" https://data.datatourisme.gouv.fr/28/976fabb8-8352-340e-8af1-70dde4c7d1a4 False Produit Visite
"L’amour au 19e siècle" 12472 60100 60175 Hauts-de-France 60 Oise 49.260784 2.472532 "SIM Picardie - Office de Tourisme Creil Sud Oise" "SIM Picardie" https://data.datatourisme.gouv.fr/28/984fa1eb-b37a-3fc8-80a5-f1f4a978918b False Produit Visite
"Visite – La flore miraculeuse" 12378 80350 80533 Hauts-de-France 80 Somme 50.069642 1.387348 "SIM Picardie - DESTINATION LE TREPORT – MERS" "SIM Picardie" https://data.datatourisme.gouv.fr/28/98b48b52-317e-3b93-9ba8-3ee732d5eb4d False Produit Visite
"Secrets de la cité médievale" 12333 80230 80721 Hauts-de-France 80 Somme 50.18958 1.62085 "SIM Picardie - OT DE LA BAIE DE SOMME" "SIM Picardie" https://data.datatourisme.gouv.fr/28/98c4364d-1e54-3de1-a489-87e59c7a5b89 False Produit Visite
"Visite pour les enfants : ""Enquête au musée""" 12808 02160 02578 Hauts-de-France 02 Aisne 49.441599 3.732465 "SIM Picardie - Aisne Tourisme - Admin" "SIM Picardie" https://data.datatourisme.gouv.fr/28/99a4fc70-6ea6-37e3-9d87-96988275b26d False Produit Visite
"Hôtel Le Cèdre" 12353 60400 60471 Hauts-de-France 60 Oise 49.581402 3.000233 "SIM Picardie - Office de Tourisme du Pays Noyonnais en Vallées de l'Oise" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/99d40325-bcb9-32be-9809-366e45062ad3 True Produit 
"Visite - Chants d'oiseaux au bois" 12391 80460 80039 Hauts-de-France 80 Somme 50.088497 1.425358 "SIM Picardie - DESTINATION LE TREPORT – MERS" "SIM Picardie" https://data.datatourisme.gouv.fr/28/9a2c93a6-f004-394a-83fa-57f39f5e3a0b False Produit Visite
"Les petits secrets des rues d'Abbeville" 12294 80100 80001 Hauts-de-France 80 Somme 50.107929 1.831884 "SIM Picardie - OT DE LA BAIE DE SOMME" "SIM Picardie" https://data.datatourisme.gouv.fr/28/9a56c0ab-2653-3c16-a59c-8abc12e1c473 False Produit Visite
"Restaurant du Canard" 13075 80310 80416 Hauts-de-France 80 Somme 49.982016 2.06602 "SIM Picardie - ADRT80" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/9a649065-e976-3e28-9d35-be8c988f286f True Produit 
"Randonnée Mystère ""Les dunes du Royon""" 12318 80120 80333 Hauts-de-France 80 Somme 1.56467 50.33075 "SIM Picardie - OT DE FORT MAHON" "SIM Picardie" https://data.datatourisme.gouv.fr/28/9ab451b6-81de-3f7e-8d4d-0348b85199d8 False Produit Visite
"L'énigmatique Cité Médiévale de Saint Valery" 12333 80230 80721 Hauts-de-France 80 Somme 50.187737 1.630588 "SIM Picardie - OT DE LA BAIE DE SOMME" "SIM Picardie" https://data.datatourisme.gouv.fr/28/9ae281c8-0f9d-33f9-a3c0-63b21f95686c False Produit Visite
"Centre Fernand Duchaussoy" 7400 80000 80021 Hauts-de-France 80 Somme 49.890718 2.266372 "SIM Picardie - OT D'AMIENS" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/9be61fdb-db96-333c-8d19-e8cdd2c6846b True Produit 
"Visite – La vie aux étangs" 12632 80220 80127 Hauts-de-France 80 Somme 50.02929 1.49131 "SIM Picardie - DESTINATION LE TREPORT – MERS" "SIM Picardie" https://data.datatourisme.gouv.fr/28/9cf8d082-0c88-35b1-b572-748ccfc25c0c False Produit Visite
"Parc Astérix Conventions & Séminaires" 8694 60128 60494 Hauts-de-France 60 Oise 49.13624 2.57226 "SIM Picardie - Chantilly-Senlis Tourisme" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/9d33703b-7a99-38a5-83ec-eb689a847b18 True Produit 
"Atelier Tissage sur Cadre 03/07/2021" 12416 80120 80688 Hauts-de-France 80 Somme 50.28292 1.65966 "SIM Picardie - TERRES ET MERVEILLES" "SIM Picardie" https://data.datatourisme.gouv.fr/28/9d478a90-d66a-374c-8bc3-ebb2e1f6c272 False Produit Pratique
"Crédit agricole" 7400 80000 80021 Hauts-de-France 80 Somme 49.875236 2.306155 "SIM Picardie - ADRT80" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/9d4d2dff-1b02-386d-8018-9744641bfe41 True Produit 
"Hostellerie du Château" 13311 02100 02549 Hauts-de-France 02 Aisne 49.82539 3.333651 "SIM Picardie - Agence Aisne Tourisme" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/9ddd7b57-4eb1-3bda-b7cd-0518a5f4eaa9 True Produit 
"Visite – Chasse aux papillons" 12378 80350 80533 Hauts-de-France 80 Somme 50.070557 1.392285 "SIM Picardie - DESTINATION LE TREPORT – MERS" "SIM Picardie" https://data.datatourisme.gouv.fr/28/9e029c2d-3a7e-3f9f-8804-e806ac50bd3b False Produit Visite
"Visites conférences : Bienvenue ! Le musée du Second Empire" 8695 60200 60159 Hauts-de-France 60 Oise 49.418399 2.828958 "SIM Picardie - Office de Tourisme de l'Agglomération de Compiègne" "SIM Picardie" https://data.datatourisme.gouv.fr/28/9e125a38-bcb2-3ee2-aef1-6efbb7ce9d97 False Produit Visite
"VISITE GUIDEE : AVRIL, NE TE DECOUVRE PAS D'UN FIL - NOUVEAU" 12353 60400 60471 Hauts-de-France 60 Oise 49.581528 3.001715 "SIM Picardie - Office de Tourisme du Pays Noyonnais en Vallées de l'Oise" "SIM Picardie" https://data.datatourisme.gouv.fr/28/9e65c0c9-809b-3208-8cc4-3280c40e5014 False Produit Visite
"Le Clos de l'Abbaye" 12567 60130 60581 Hauts-de-France 60 Oise 49.507235 2.434441 "SIM Picardie - Oise Tourisme" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/9e7977ec-7551-38d3-8954-cc23923f2523 True Produit 
"Maxim Guide en Baie de Somme" 572 80230 80110 Hauts-de-France 80 Somme 50.168977 1.658717 "SIM Picardie - TERRES ET MERVEILLES" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/9eba3de5-112c-3d96-bf0b-5a2996f3ceb1 True Produit 
"Visite - Herbier d'été" 12378 80350 80533 Hauts-de-France 80 Somme 50.069642 1.387348 "SIM Picardie - DESTINATION LE TREPORT – MERS" "SIM Picardie" https://data.datatourisme.gouv.fr/28/a04a971f-f57f-33eb-af15-b38b82d7c0d2 False Produit Visite
"Ma Baie de Somme Longe Côte" 12350 80550 80228 Hauts-de-France 80 Somme 50.214931 1.622716 "SIM Picardie - TERRES ET MERVEILLES" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/a0cf762c-401c-3d91-89bd-798b622c107c True Produit 
"Baie de Somme Exploration" 12306 80132 80149 Hauts-de-France 80 Somme 50.15648 1.829614 "SIM Picardie - TERRES ET MERVEILLES" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/a0e2ce64-2d71-39a4-8db6-081c884d01a9 True Produit 
"Visite – Chasse aux papillons" 12378 80350 80533 Hauts-de-France 80 Somme 50.070557 1.392285 "SIM Picardie - DESTINATION LE TREPORT – MERS" "SIM Picardie" https://data.datatourisme.gouv.fr/28/a0f83546-84ef-3c6c-9c70-e3d9c3a2a27e False Produit Visite
"Le Musée du Cheval de Trait" 13138 60700 60562 Hauts-de-France 60 Oise 49.354571 2.535263 "SIM Picardie - Office de Tourisme des Pays d'Oise et d'Halatte" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/a127a176-2a23-35e3-be28-0a306144b8f3 True Produit 
"La Ferme du Clos" 12680 60510 60355 Hauts-de-France 60 Oise 49.414053 2.197034 "SIM Picardie - Office de Tourisme de l'Agglomération du Beauvaisis" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/a2d2088f-a278-38e4-b8b4-ae4bc88bcddb True Produit 
"Le Moulin de la Forge" 12618 60590 60660 Hauts-de-France 60 Oise 49.336087 1.869771 "SIM Picardie - Office de Tourisme du Pays de Bray" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/a2fd73b8-a6d4-3337-af0b-c1b563f09151 True Produit 
"Session rafting" 12461 80310 80622 Hauts-de-France 80 Somme 49.94602 2.14048 "SIM Picardie - OT NIEVRE ET SOMME" "SIM Picardie" https://data.datatourisme.gouv.fr/28/a317d584-995e-3ae6-9da0-1fd77d6ce921 False Produit Pratique
"Palais de Compiègne - Musées et domaine nationaux" 8695 60200 60159 Hauts-de-France 60 Oise 49.418033 2.829517 "SIM Picardie - Office de Tourisme de l'Agglomération de Compiègne" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/a34891fc-65b2-3e04-a5b4-823475959767 True Produit 
"Le circuit des 4 arbres remarquables 27/10/2021" 12450 80150 80222 Hauts-de-France 80 Somme 50.236906 1.832238 "SIM Picardie - TERRES ET MERVEILLES" "SIM Picardie" https://data.datatourisme.gouv.fr/28/a35ec1c8-8ee3-3af8-a50e-d5a58a1825f9 False Produit Visite
"Visite – Chasse aux papillons" 12378 80350 80533 Hauts-de-France 80 Somme 50.070557 1.392285 "SIM Picardie - DESTINATION LE TREPORT – MERS" "SIM Picardie" https://data.datatourisme.gouv.fr/28/a3886041-cef8-321a-ab46-4c55e6e47f68 False Produit Visite
"Château de Sorel" 13243 60490 60483 Hauts-de-France 60 Oise 49.568521 2.707547 "SIM Picardie - Office de Tourisme de l'Agglomération de Compiègne" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/a44afffc-24f6-3243-bfdf-9ca6ad6da1a3 True Produit 
"LE CARRE DE LA REPUBLIQUE" 7400 80000 80021 Hauts-de-France 80 Somme 49.892148 2.297185 "SIM Picardie - OT D'AMIENS" "Aisne: 03 23 27 76 76<br />Oise: 03 64 60 60 60<br />Somme: 03 22 71 22 71" https://data.datatourisme.gouv.fr/28/a47b20ef-883b-3169-bea6-f0deb691d7e5 True Produit 
"Visite - Herbier d'été" 12378 80350 80533 Hauts-de-France 80 Somme 50.069642 1.387348 "SIM Picardie - DESTINATION LE TREPORT – MERS" "SIM Picardie" https://data.datatourisme.gouv.fr/28/a6a97d2d-7758-38ef-b7e8-bdfabcbf3ec5 False Produit Visite
"Visite – La vie aux étangs" 12632 80220 80127 Hauts-de-France 80 Somme 50.02929 1.49131 "SIM Picardie - DESTINATION LE TREPORT – MERS" "SIM Picardie" https://data.datatourisme.gouv.fr/28/a93343bc-e3b5-3936-a099-17f4e7fdf6a9 False Produit Visite
